No_month,year,month,States,Sum_of_Series_Complete_Yes,Sum_of_Administered_Dose1_Pop_Pct,Sum_of_Series_Complete_Pop_Pct,Sum_of_Series_Complete_Janssen,Sum_of_Series_Complete_Moderna,Sum_of_Series_Complete_Pfizer,Sum_of_Administered_Janssen,Sum_of_Administered_Moderna,Sum_of_Administered_Pfizer,Personal_income_average_monthly,COVID_death_rate,COVID-19,Death
3,2020,5,Louisiana,0,0.0000,0.0000,0,0,0,0,0,0,4190,0.0922,732,7938
3,2020,5,Maine,0,0.0000,0.0000,0,0,0,0,0,0,4138,0.0143,30,2104
3,2020,5,Maryland,0,0.0000,0.0000,0,0,0,0,0,0,5538,0.1738,1538,8850
3,2020,5,Massachusetts,0,0.0000,0.0000,0,0,0,0,0,0,6959,0.3309,3032,9163
3,2020,5,Michigan,0,0.0000,0.0000,0,0,0,0,0,0,4775,0.0839,1285,15316
3,2020,5,Minnesota,0,0.0000,0.0000,0,0,0,0,0,0,5343,0.0920,698,7584
3,2020,5,Mississippi,0,0.0000,0.0000,0,0,0,0,0,0,3475,0.0779,446,5722
3,2020,5,Missouri,0,0.0000,0.0000,0,0,0,0,0,0,4407,0.0395,400,10136
3,2020,5,Montana,0,0.0000,0.0000,0,0,0,0,0,0,3761,0.0000,0,1508
3,2020,5,Nebraska,0,0.0000,0.0000,0,0,0,0,0,0,4143,0.0389,101,2594
3,2020,5,Nevada,0,0.0000,0.0000,0,0,0,0,0,0,4472,0.0356,155,4348
3,2020,5,New Hampshire,0,0.0000,0.0000,0,0,0,0,0,0,5170,0.0891,178,1998
3,2020,5,New Jersey,0,0.0000,0.0000,0,0,0,0,0,0,6309,0.2824,3347,11854
3,2020,5,New Mexico,0,0.0000,0.0000,0,0,0,0,0,0,4000,0.0757,255,3370
3,2020,5,New York,0,0.0000,0.0000,0,0,0,0,0,0,7336,0.2319,5556,23954
3,2020,5,North Carolina,0,0.0000,0.0000,0,0,0,0,0,0,4732,0.0344,531,15438
3,2020,5,North Dakota,0,0.0000,0.0000,0,0,0,0,0,0,4533,0.0339,37,1090
3,2020,5,Ohio,0,0.0000,0.0000,0,0,0,0,0,0,4606,0.0586,1155,19702
3,2020,5,Oklahoma,0,0.0000,0.0000,0,0,0,0,0,0,4104,0.0178,109,6130
3,2020,5,Oregon,0,0.0000,0.0000,0,0,0,0,0,0,4775,0.0081,46,5646
3,2020,5,Pennsylvania,0,0.0000,0.0000,0,0,0,0,0,0,5092,0.1288,2702,20976
3,2020,5,Rhode Island,0,0.0000,0.0000,0,0,0,0,0,0,4905,0.2713,464,1710
3,2020,5,South Carolina,0,0.0000,0.0000,0,0,0,0,0,0,3995,0.0327,279,8534
3,2020,5,South Dakota,0,0.0000,0.0000,0,0,0,0,0,0,3904,0.0131,16,1220
3,2020,5,Tennessee,0,0.0000,0.0000,0,0,0,0,0,0,4446,0.0156,191,12234
3,2020,5,Texas,0,0.0000,0.0000,0,0,0,0,0,0,5334,0.0269,953,35398
3,2020,5,Utah,0,0.0000,0.0000,0,0,0,0,0,0,4450,0.0166,52,3140
3,2020,5,Vermont,0,0.0000,0.0000,0,0,0,0,0,0,4247,0.0000,0,853
3,2020,5,Virginia,0,0.0000,0.0000,0,0,0,0,0,0,5343,0.0763,851,11154
3,2020,5,Washington,0,0.0000,0.0000,0,0,0,0,0,0,6119,0.0310,271,8746
3,2020,5,West Virginia,0,0.0000,0.0000,0,0,0,0,0,0,3917,0.0072,25,3460
3,2020,5,Wisconsin,0,0.0000,0.0000,0,0,0,0,0,0,4368,0.0333,279,8376
3,2020,5,Wyoming,0,0.0000,0.0000,0,0,0,0,0,0,4156,0.0000,0,702
4,2020,6,Alabama,0,0.0000,0.0000,0,0,0,0,0,0,4212,0.0387,394,10176
4,2020,6,Alaska,0,0.0000,0.0000,0,0,0,0,0,0,4905,0.0000,0,650
4,2020,6,Arizona,0,0.0000,0.0000,0,0,0,0,0,0,4754,0.0589,894,15170
